SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PPL,3/22/2012,177.45,179.2,176.34,121819,176.7
PPL,3/26/2012,176.7,178.25,172.5,309654,175.49
PPL,3/27/2012,175.5,178.05,175.01,116126,177.29
PPL,3/28/2012,177.29,182.45,177.5,861834,181.97
PPL,3/29/2012,181.97,182.99,180.05,621689,180.57
PPL,3/30/2012,181,183.8,180.58,403904,182.79
PPL,4/2/2012,183.59,185.25,180.25,706808,181.02
PPL,4/3/2012,181.4,181.4,179.2,132457,180.54
PPL,4/4/2012,181.5,184.25,180.2,408083,183.85
PPL,4/5/2012,184,186,184,570599,184.84
PPL,4/6/2012,185,186,183.5,263045,184.11
PPL,4/9/2012,183.2,185.5,181.5,112440,182.4
PPL,4/10/2012,182.4,184.5,181.25,324630,183
PPL,4/11/2012,183,185.05,181,443619,183.85
PPL,4/12/2012,183.35,184.9,180.05,1006982,183.3
PPL,4/13/2012,183.97,192.46,183,3432999,192.39
PPL,4/16/2012,193.9,195.1,188.5,2100242,193.9
PPL,4/18/2012,195.78,196.74,192.1,2302643,194.72
PPL,4/19/2012,195.5,196,191.86,519980,193.25
PPL,4/20/2012,193.99,196.24,192.51,1406932,193.24
PPL,4/23/2012,193.12,196,192.25,594816,194.72
PPL,4/24/2012,196.9,200.5,196.7,2070847,197.2
PPL,4/25/2012,198.9,204.5,197.5,3499501,198.89
PPL,4/30/2012,194,194,190,825045,190.16
PPL,5/2/2012,190.85,193.03,189.21,1816677,191.01
PPL,5/3/2012,192.9,194.4,190.99,2056847,192.26
PPL,5/4/2012,193.5,197.65,193.25,3569886,195.41
PPL,5/7/2012,195.65,197.75,193.99,886113,194.91
PPL,5/8/2012,195,195.6,191.45,1447346,192.03
PPL,5/9/2012,192.11,192.89,190.5,1286453,192.14
PPL,5/10/2012,192.4,192.55,189.2,696520,189.41
PPL,5/11/2012,189.2,189.5,186.9,622883,187.5
PPL,5/14/2012,190,190.49,187.3,327470,187.8
PPL,5/15/2012,189.99,191.45,188,1350926,190.27
PPL,5/16/2012,190.5,190.85,186,704681,186.86
PPL,5/17/2012,187,188,185.1,596504,186.18
PPL,5/18/2012,187,187,181,914052,182.29
PPL,5/21/2012,183,183.8,182.5,130386,183.13
PPL,5/22/2012,183.79,187.86,183.39,569526,187.39
